Filesystem      Size  Used Avail Use% Mounted on
/dev/root        72G   46G   27G  64% /
tmpfs           7.9G   84K  7.9G   1% /dev/shm
tmpfs           3.2G  1.1M  3.2G   1% /run
tmpfs           5.0M     0  5.0M   0% /run/lock
/dev/sda16      881M   60M  760M   8% /boot
/dev/sda15      105M  6.2M   99M   6% /boot/efi
/dev/sdb1        74G  4.1G   66G   6% /mnt
tmpfs           1.6G   12K  1.6G   1% /run/user/1001
tmpfs           512M     0  512M   0% /mnt/ramdisk
/dev/loop0p1    1.2G   14M  1.1G   2% /mnt/gh-disk
/dev/loop0p2    788M   14M  718M   2% /mnt/gh-disk/part2
